month   day     year    Rhine   Meuse   Rietholzbach    Hupsel  
22	6	1989	1238	55	9.73E-03	0.058
23	6	1989	1270	83	2.65E-02	0.056
24	6	1989	1297	94	1.30E-02	0.054
25	6	1989	1302	60	1.10E-02	0.052
26	6	1989	1314	56	9.48E-03	0.051
27	6	1989	1343	73	8.79E-03	0.058
28	6	1989	1350	54	5.78E-02	0.053
29	6	1989	1318	67	4.77E-02	0.06
30	6	1989	1300	70	2.84E-02	0.057
1	7	1989	1307	70	1.76E-02	0.05
2	7	1989	1333	88	4.54E-02	0.052
3	7	1989	1382	70	1.32E-01	0.046
4	7	1989	1390	65	3.19E-01	0.041
5	7	1989	1391	51	8.86E-02	0.037
6	7	1989	1479	59	5.13E-02	0.034
7	7	1989	1650	48	3.75E-02	0.034
8	7	1989	1737	59	5.58E-02	0.032
9	7	1989	1728	80	6.35E-02	0.036
10	7	1989	1761	58	2.39E-01	0.039
11	7	1989	1815	40	2.60E-01	0.034
12	7	1989	1768	47	3.11E-01	0.032
13	7	1989	1695	42	1.57E-01	0.031
14	7	1989	1714	36	9.70E-02	0.03
15	7	1989	1820	50	6.94E-02	0.029
16	7	1989	1846	46	5.16E-02	0.029
17	7	1989	1802	39	4.27E-02	0.029
18	7	1989	1749	48	3.58E-02	0.03
19	7	1989	1647	24	3.68E-02	0.027
20	7	1989	1571	35	2.81E-02	0.025
21	7	1989	1520	46	2.32E-02	0.025
22	7	1989	1458	29	2.08E-02	0.025
23	7	1989	1412	62	2.10E-02	0.026
24	7	1989	1391	57	1.86E-02	0.025
25	7	1989	1381	40	2.94E-01	0.025
26	7	1989	1403	27	4.65E-01	0.025
27	7	1989	1418	48	1.02E-01	0.025
28	7	1989	1455	23	4.33E-01	0.024
29	7	1989	1451	12	1.18E-01	0.025
30	7	1989	1430	56	7.36E-02	0.026
31	7	1989	1392	56	6.19E-02	0.04
1	8	1989	1374	39	6.45E-01	0.044
2	8	1989	1374	36	7.50E-01	0.043
3	8	1989	1384	32	3.62E-01	0.035
4	8	1989	1424	31	1.27E-01	0.031
5	8	1989	1565	19	8.84E-02	0.028
6	8	1989	1672	39	1.53E-01	0.027
7	8	1989	1662	43	7.79E-02	0.025
8	8	1989	1597	25	1.23E-01	0.026
9	8	1989	1558	31	2.65E-01	0.032
10	8	1989	1560	41	1.09E-01	0.029
11	8	1989	1594	35	7.33E-02	0.029
12	8	1989	1622	30	7.95E-02	0.029
13	8	1989	1691	61	5.98E-02	0.027
14	8	1989	1721	39	4.89E-02	0.026
15	8	1989	1671	14	5.83E-02	0.024
16	8	1989	1576	18	3.83E-02	0.023
17	8	1989	1523	8	3.74E-02	0.024
18	8	1989	1521	11	8.59E-02	0.02
19	8	1989	1477	23	3.92E-02	0.019
20	8	1989	1429	39	3.06E-02	0.018
21	8	1989	1410	34	2.46E-02	0.017
22	8	1989	1409	7	2.21E-02	0.015
23	8	1989	1380	12	2.15E-02	0.014
24	8	1989	1351	8	2.00E-02	0.014
25	8	1989	1325	12	1.87E-02	0.015
26	8	1989	1303	13	1.64E-02	0.015
27	8	1989	1302	39	1.65E-02	0.036
28	8	1989	1325	64	1.17E-01	0.028
29	8	1989	1329	16	1.03E-01	0.024
30	8	1989	1334	11	5.04E-02	0.024
31	8	1989	1327	18	3.58E-02	0.024
1	9	1989	1386	28	2.90E-02	0.024
2	9	1989	1448	33	2.56E-02	0.026
3	9	1989	1496	31	2.81E-01	0.031
4	9	1989	1422	42	1.55E-01	0.028
5	9	1989	1389	15	1.78E-01	0.025
6	9	1989	1365	10	9.76E-02	0.025
7	9	1989	1392	11	7.03E-02	0.023
8	9	1989	1430	12	5.66E-02	0.023
9	9	1989	1453	11	4.84E-02	0.023
10	9	1989	1409	25	4.11E-02	0.022
11	9	1989	1362	15	3.44E-02	0.021
12	9	1989	1343	11	5.40E-02	0.02
13	9	1989	1299	18	3.55E-02	0.024
14	9	1989	1293	29	7.54E-02	0.037
15	9	1989	1311	34	5.74E-02	0.036
16	9	1989	1346	71	4.75E-02	0.033
17	9	1989	1358	166	3.56E-02	0.035
18	9	1989	1358	73	2.88E-02	0.032
19	9	1989	1326	56	2.55E-02	0.038
20	9	1989	1311	33	2.34E-02	0.048
21	9	1989	1235	30	2.21E-02	0.037
22	9	1989	1179	23	2.10E-02	0.033
23	9	1989	1142	24	1.97E-02	0.031
24	9	1989	1100	45	1.82E-02	0.03
25	9	1989	1095	56	1.79E-02	0.031
26	9	1989	1122	17	4.52E-02	0.03
27	9	1989	1111	22	2.55E-02	0.029
28	9	1989	1095	21	2.86E-02	0.027
29	9	1989	1071	19	2.35E-02	0.028
30	9	1989	1043	20	2.72E-02	0.027
1	10	1989	1028	35	2.00E-02	0.028
2	10	1989	1020	31	1.73E-02	0.027
3	10	1989	1004	8	1.60E-02	0.026
4	10	1989	990	7	1.45E-02	0.025
5	10	1989	972	8	1.28E-02	0.024
6	10	1989	964	11	1.20E-02	0.026
7	10	1989	984	36	1.64E-02	0.031
8	10	1989	1011	79	3.32E-01	0.035
9	10	1989	1040	55	4.73E-01	0.034
10	10	1989	1069	17	1.76E-01	0.035
11	10	1989	1109	24	2.49E-01	0.035
12	10	1989	1186	50	1.24E-01	0.034
13	10	1989	1284	22	8.91E-02	0.035
14	10	1989	1306	62	6.67E-02	0.046
15	10	1989	1311	57	1.32E-01	0.056
16	10	1989	1250	42	7.13E-02	0.046
17	10	1989	1210	19	5.64E-02	0.041
18	10	1989	1176	23	4.95E-02	0.04
19	10	1989	1162	15	4.42E-02	0.04
